Gene1,Gene2
BTAF1,ZBTB38
BTAF1,MKRN1
BTAF1,SMURF1
BTAF1,EBF4
BTAF1,EIF4A2
BTAF1,CNOT3
BTAF1,ARHGAP29
BTAF1,SERTAD2
BTAF1,PIAS2
BTAF1,GLS
BTAF1,HIST1H1D
BTAF1,XRCC6
BTAF1,ITPK1
BTAF1,TMF1
BTAF1,LAMC1
BTAF1,FOXJ2
BTAF1,DNMT1
BTAF1,ATP13A3
BTAF1,RELA
BTAF1,TSPAN9
BTAF1,SMARCA4
BTAF1,SMARCC1
BTAF1,TRIM24
BTAF1,SLC6A6
BTAF1,MTA3
BTAF1,TRIM13
BTAF1,ETV5
BTAF1,AATF
BTAF1,ITGA6
BTAF1,ZBTB43
BTAF1,SFPQ
BTAF1,TEAD1
BTAF1,ZFHX3
BTAF1,PODXL
BTAF1,APBB1
BTAF1,TOP2B
BTAF1,FOXP1
BTAF1,NCOR1
BTAF1,SUZ12
BTAF1,TCERG1
BTAF1,LAMA1
BTAF1,FIZ1
BTAF1,HMGXB3
BTAF1,EWSR1
BTAF1,ZFP276
BTAF1,RBFOX2
BTAF1,ARNT2
BTAF1,MYCN
BTAF1,SRSF3
BTAF1,KDM5B
BTAF1,ESRRA
BTAF1,LDLRAP1
BTAF1,HDAC5
BTAF1,HSPG2
BTAF1,MEF2D
BTAF1,ZFP592
BTAF1,EP300
BTAF1,AMOTL2
BTAF1,RYBP
BTAF1,ZFP398
BTAF1,EZH2
BTAF1,JMJD1C
BTAF1,NFX1
BTAF1,ZFP768
BTAF1,HDGF
BTAF1,GNPDA1
BTAF1,MEF2A
BTAF1,HDLBP
BTAF1,PIAS1
BTAF1,ME1
BTAF1,HIF3A
BTAF1,TYRO3
BTAF1,BCL3
BTAF1,MSH6
BTAF1,MYO6
BTAF1,CTBP1
BTAF1,EED
BTAF1,ZFAND3
BTAF1,BRWD1
BTAF1,MME
BTAF1,ADAM23
BTAF1,NCOA3
BTAF1,MLLT1
BTAF1,IGFBP2
BTAF1,HIF1A
BTAF1,TRPS1
BTAF1,PATZ1
BTAF1,EFEMP2
BTAF1,TNK2
BTAF1,CDC42SE2
BTAF1,RARA
BTAF1,P4HB
BTAF1,PDCD4
BTAF1,TET2
BTAF1,TCF12
BTAF1,PURA
BTAF1,P4HA1
BTAF1,LAMB2
BTAF1,TIMP2
BTAF1,TCF7
BTAF1,COIL
BTAF1,ELAVL2
BTAF1,NFE2L1
BTAF1,PHF14
BTAF1,ANKRD54
BTAF1,PLOD2
BTAF1,AIP
BTAF1,KLF3
BTAF1,RAI14
BTAF1,GRHL1
BTAF1,GLIPR2
BTAF1,LAMA5
BTAF1,JDP2
BTAF1,HES1
BTAF1,GBX2
BTAF1,GRIN1
BTAF1,RERE
BTAF1,PRRX2
BTAF1,RBBP4
BTAF1,RASGRP2
BTAF1,SCMH1
BTAF1,MAN1A2
BTAF1,KLF15
BTAF1,HDAC4
BTAF1,ANKRD6
BTAF1,RAD51
BTAF1,HTT
BTAF1,UBE2C
BTAF1,RNF157
BTAF1,HSF2
BTAF1,KAT2B
BTAF1,CKAP4
BTAF1,SMURF2
BTAF1,INTS12
BTAF1,TCF4
BTAF1,SMAD3
BTAF1,HSPB1
BTAF1,PMS1
BTAF1,RBPMS2
BTAF1,DMRT1
BTAF1,KLF4
BTAF1,BCAM
BTAF1,TRP53BP1
BTAF1,STAT5B
BTAF1,PTPN14
BTAF1,PITX1
BTAF1,PMM1
BTAF1,FN1
BTAF1,CRY1
BTAF1,KRBA1
BTAF1,RCOR2
BTAF1,MAPK11
BTAF1,ETV4
BTAF1,REST
BTAF1,NAA15
BTAF1,FRMD4A
BTAF1,EPHA2
BTAF1,NR2C1
BTAF1,ZHX3
BTAF1,SRSF1
BTAF1,PKNOX2
BTAF1,CSF1
BTAF1,ETS1
BTAF1,ILF3
BTAF1,THRAP3
BTAF1,GABBR1
BTAF1,SEC24D
BTAF1,CNOT2
BTAF1,PARVB
BTAF1,CNOT8
BTAF1,ELF2
BTAF1,SMARCB1
BTAF1,TMED2
BTAF1,PREB
BTAF1,COL4A2
BTAF1,COL4A1
BTAF1,KLF9
BTAF1,HNRNPK
BTAF1,NPAS2
BTAF1,KHDRBS1
BTAF1,RARG
BTAF1,ZMYM2
BTAF1,TFEB
BTAF1,TGFB1
BTAF1,LRP2
BTAF1,UBP1
BTAF1,BASP1
BTAF1,RB1
BTAF1,VEZF1
BTAF1,MAFK
BTAF1,CEMIP
BTAF1,RRBP1
BTAF1,ZBTB10
BTAF1,RCC2
BTAF1,ZMYND11
BTAF1,NRIP1
BTAF1,LHX2
BTAF1,SOS2
BTAF1,POU6F1
BTAF1,PAX6
BTAF1,SERPINE2
BTAF1,ZEB2
BTAF1,EBF1
BTAF1,ANKS1
BTAF1,TCF7L2
BTAF1,SSR3
BTAF1,UHRF1
BTAF1,GTF3C1
BTAF1,TBX18
BTAF1,P4HA2
BTAF1,DNMT3A
BTAF1,BARD1
BTAF1,TRRAP
BTAF1,RUNX1
BTAF1,POLR2B
BTAF1,CBX6
BTAF1,MAPK8
BTAF1,ZFP236
BTAF1,ETV6
BTAF1,LRRK1
BTAF1,DDB1
BTAF1,PHLDB2
BTAF1,HDAC11
BTAF1,POLR1C
BTAF1,MLXIPL
BTAF1,SOCS2
BTAF1,TEAD3
BTAF1,MYH9
BTAF1,COTL1
BTAF1,SMAD2
BTAF1,MBD2
BTAF1,CENPB
BTAF1,ERF
BTAF1,CHD4
BTAF1,SRI
BTAF1,CRAMP1L
BTAF1,HDAC7
BTAF1,KANK2
BTAF1,KAT6B
BTAF1,POU2F1
BTAF1,ZEB1
BTAF1,EYA1
BTAF1,EGR1
BTAF1,OBSL1
BTAF1,PDIA6
BTAF1,GTF2I
BTAF1,POLR1B
BTAF1,TLE1
BTAF1,PRDM1
BTAF1,PHF2
BTAF1,NOTUM
BTAF1,CREB3L2
BTAF1,NFIB
BTAF1,PHF12
BTAF1,POLR2A
BTAF1,WWTR1
BTAF1,AGAP3
BTAF1,BCAT1
BTAF1,SIN3A
BTAF1,MEIS1
BTAF1,NFXL1
BTAF1,APP
BTAF1,GLI2
BTAF1,RBM14
BTAF1,HSPH1
BTAF1,FHL2
BTAF1,CIC
BTAF1,AKT1
BTAF1,FOSL2
BTAF1,BIN1
BTAF1,TOX3
BTAF1,BMPER
BTAF1,JARID2
BTAF1,CRIP2
BTAF1,LOXL2
BTAF1,ASS1
BTAF1,ING1
BTAF1,OVOL1
BTAF1,PFKP
BTAF1,SNAI1
BTAF1,POLR2E
BTAF1,SPOCK1
BTAF1,BARX1
BTAF1,CLCN5
BTAF1,COL27A1
BTAF1,SGK1
BTAF1,PTH1R
BTAF1,ESRRB
BTAF1,KDELR3
BTAF1,MITF
BTAF1,EPS8
BTAF1,CRABP2
BTAF1,SMAD7
BTAF1,GRB10
BTAF1,TBL1X
BTAF1,POU4F1
BTAF1,STAT5A
BTAF1,TCF20
BTAF1,PITX2
BTAF1,ZDHHC15
BTAF1,VEGFA
BTAF1,TENM4
BTAF1,TWIST1
BTAF1,HMGA2
BTAF1,FGF10
BTAF1,SND1
BTAF1,ZFP423
BTAF1,ELK1
BTAF1,SLCO3A1
BTAF1,GAS6
BTAF1,SALL4
BTAF1,CDKN1A
BTAF1,NRG1
BTAF1,MED15
BTAF1,UBTF
BTAF1,CNOT6L
BTAF1,GATA3
BTAF1,FOXO1
BTAF1,ZFPM1
BTAF1,BMP6
BTAF1,HOPX
BTAF1,BMI1
BTAF1,FGFR3
BTAF1,NSD1
BTAF1,TSHZ3
BTAF1,MORC4
BTAF1,ADAM19
BTAF1,MCM3
BTAF1,MSX2
BTAF1,BTBD11
BTAF1,PLOD1
BTAF1,CHD7
BTAF1,AMPD2
BTAF1,SLC26A10
BTAF1,SATB2
BTAF1,KLF13
BTAF1,TADA3
BTAF1,POLR2J
BTAF1,MGST3
BTAF1,NFIA
BTAF1,MEN1
BTAF1,PCBD1
BTAF1,TFE3
BTAF1,CCNB1
BTAF1,TFAP4
BTAF1,FOXO3
BTAF1,CST3
BTAF1,TFAP2C
BTAF1,NFATC1
BTAF1,DTX1
BTAF1,GNAS
BTAF1,RUVBL1
BTAF1,ZFP296
BTAF1,ZBTB7A
BTAF1,CALU
BTAF1,MCM7
BTAF1,NR2F2
BTAF1,EPAS1
BTAF1,ATF7
BTAF1,HIVEP2
BTAF1,PDCD11
BTAF1,ATP6V0A1
BTAF1,EPHA4
BTAF1,KLF6
BTAF1,JAM2
BTAF1,PROX1
BTAF1,PEG3
BTAF1,CREB5
BTAF1,GATA4
BTAF1,PDGFRA
BTAF1,ESPL1
BTAF1,HSPA5
BTAF1,KNTC1
BTAF1,MCM4
BTAF1,TAF6
BTAF1,DAB2
BTAF1,MEF2C
BTAF1,LAMB1
BTAF1,TINAGL1
BTAF1,TET1
BTAF1,ASH1L
BTAF1,CMKLR1
BTAF1,TUBB2B
BTAF1,ATM
BTAF1,POLR3F
BTAF1,ZFP462
BTAF1,HS3ST1
BTAF1,VIM
BTAF1,OPLAH
BTAF1,ANXA5
BTAF1,AU018091
BTAF1,KRT42
BTAF1,POU5F1
BTAF1,HNF1B
BTAF1,GTF2A1L
BTAF1,ZFP36L1
BTAF1,STARD8
BTAF1,FRRS1
BTAF1,LY6G6E
BTAF1,STXBP2
BTAF1,SMARCA2
BTAF1,TOP2A
BTAF1,MED31
BTAF1,HNF4A
BTAF1,NID1
BTAF1,HCFC1
BTAF1,RUNX3
BTAF1,GPX3
BTAF1,TAF6L
BTAF1,ARID5B
BTAF1,HIP1
CBX7,BMP6
CBX7,OVOL1
CBX7,ZEB1
CBX7,COL27A1
CBX7,ESRRB
CBX7,CUX1
CBX7,CREB5
CBX7,HOPX
CBX7,MAML3
CBX7,SATB1
CBX7,GRB10
CBX7,SLCO3A1
CBX7,FGFR3
CBX7,NPAS2
CBX7,BMPER
CBX7,BTBD11
CBX7,FOXP1
CBX7,NFIA
CBX7,CSF1
CBX7,PTH1R
CBX7,GAS6
CBX7,DMRT1
CBX7,PAX8
CBX7,GDPD5
CBX7,GNAS
CBX7,IRF4
CBX7,HIVEP2
CBX7,TOX3
CBX7,ZFPM1
CBX7,LRRK1
CBX7,APP
CBX7,PKNOX2
CBX7,COL4A2
CBX7,COL4A1
CBX7,SPOCK1
CBX7,VIM
CBX7,PRRX2
CBX7,PRDM14
CBX7,PODXL
CBX7,FRMD4A
CBX7,EBF4
CBX7,ZBTB10
CBX7,DTX1
CBX7,FHL2
CBX7,TWIST1
CBX7,MEF2C
CBX7,ZEB2
CBX7,SERPINE2
CBX7,MLXIPL
CBX7,EPAS1
CBX7,JDP2
CBX7,EBF1
CBX7,HMGA2
CBX7,LRP2
CBX7,OBSL1
CBX7,BMI1
CBX7,P4HA2
CBX7,NRG1
CBX7,TBX18
CBX7,SATB2
CBX7,BIN1
CBX7,PHLDB2
CBX7,FGF10
CBX7,TEAD4
CBX7,HDAC7
CBX7,PTPN14
CBX7,TGFB1
CBX7,LHX2
CBX7,KDELR3
CBX7,MKX
CBX7,POU6F1
CBX7,SMARCA2
CBX7,ARHGAP29
CBX7,KLF4
CBX7,BMP4
CBX7,ETS1
CBX7,STAT5B
CBX7,NR2F2
CBX7,MSX2
CBX7,NOTUM
CBX7,HNF1B
CBX7,HS3ST1
CBX7,MORC4
CBX7,ELAVL2
CBX7,BCAT1
CBX7,POU4F1
CBX7,NID1
CBX7,NFATC1
CBX7,VEGFA
CBX7,LOXL2
CBX7,TIMP2
CBX7,NOTCH1
CBX7,LAMA1
CBX7,EPHA4
CBX7,E2F6
CBX7,ZFHX3
CBX7,FOSL2
CBX7,LAMB1
CBX7,TFAP2C
CBX7,SOS2
CBX7,EYA1
CBX7,GATA3
CBX7,PDGFRA
CBX7,TENM4
CBX7,PAX6
CBX7,SHROOM3
CBX7,PITX2
CBX7,KLF15
CBX7,ELF2
CBX7,RUNX1
CBX7,CLCN5
CBX7,CEMIP
CBX7,GLI2
CBX7,HSPB1
CBX7,CDKN1A
CBX7,PHF12
CBX7,STAT5A
CBX7,MEIS1
CBX7,RFX2
CBX7,GBX2
CBX7,ANXA5
CBX7,NFIB
CBX7,TYRO3
CBX7,SFI1
CBX7,SMAD3
CBX7,B2M
CBX7,DNMT3A
CBX7,ZFP423
CBX7,STARD8
CBX7,MME
CBX7,ARID5B
CBX7,PROX1
CBX7,TSHZ3
CBX7,VEZF1
CBX7,JAM2
CBX7,IGFBP2
CBX7,TCF12
CBX7,RASGRP2
CBX7,ARNT2
CBX7,GATA6
CBX7,DAB2
CBX7,PARVB
CBX7,GATA4
CBX7,MAPK11
CBX7,CUX2
CBX7,SNAI1
CBX7,PURA
CBX7,CRY1
CBX7,FOXJ2
CBX7,ZHX3
CBX7,P4HA1
CBX7,LAMA5
CBX7,CHD7
CBX7,ZFP36L1
CBX7,GLDC
CBX7,ME1
CBX7,E2F2
CBX7,SGK1
CBX7,HIST1H1D
CBX7,CAR2
CBX7,TRPS1
CBX7,CMKLR1
CBX7,BARX1
CBX7,GLIPR2
CBX7,TAF6
CBX7,TLE1
CBX7,TCERG1
CBX7,APBB1
CBX7,HIP1
CBX7,PRDM1
CBX7,WWTR1
CBX7,CKAP4
CBX7,NR5A2
CBX7,TFE3
CBX7,ASS1
CBX7,EGR1
CBX7,COTL1
CBX7,KLF8
CBX7,COBL
CBX7,ANKRD6
CBX7,PFKP
CBX7,CNOT6L
CBX7,TPM4
CBX7,AIP
CBX7,CIC
CBX7,EPS8
CBX7,RARG
CBX7,CREB3L2
CBX7,ADAM19
CBX7,RNF157
CBX7,BASP1
CBX7,FN1
CBX7,CRABP2
CBX7,SLC26A10
CBX7,POU2F1
CBX7,NFXL1
CHD4,POLR2E
CHD4,SFI1
CHD4,EZH2
CHD4,NR2C1
CHD4,HDGF
CHD4,POLR1B
CHD4,GTF2H4
CHD4,ZFP335
CHD4,TFAP4
CHD4,ZFP398
CHD4,XRCC5
CHD4,POLR3B
CHD4,TMED2
CHD4,FOXJ3
CHD4,ATF7
CHD4,RRBP1
CHD4,INTS12
CHD4,CALU
CHD4,ITPK1
CHD4,SCMH1
CHD4,CNOT8
CHD4,SMARCA5
CHD4,TADA3
CHD4,EIF4A2
CHD4,TCERG1
CHD4,FUBP3
CHD4,NOTCH2
CHD4,SERTAD2
CHD4,DNMT3A
CHD4,HMGXB3
CHD4,UBE2C
CHD4,POU2F1
CHD4,MEF2A
CHD4,YEATS2
CHD4,RNF14
CHD4,SND1
CHD4,ZFP148
CHD4,PIAS2
CHD4,MED31
CHD4,GNPDA1
CHD4,BRD7
CHD4,TRRAP
CHD4,ZBTB39
CHD4,SUZ12
CHD4,RASGRP2
CHD4,KANK2
CHD4,RBM14
CHD4,ASXL1
CHD4,E2F2
CHD4,NFXL1
CHD4,KEAP1
CHD4,NCOA3
CHD4,SLCO3A1
CHD4,CENPB
CHD4,ASS1
CHD4,CUX1
CHD4,CIC
CHD4,ANKRD54
CHD4,CTBP1
CHD4,SRSF1
CHD4,CAR2
CHD4,RCC2
CHD4,HNRNPK
CHD4,JMJD1C
CHD4,ETS1
CHD4,THRAP3
CHD4,FRRS1
CHD4,RERE
CHD4,ZEB1
CHD4,CNOT3
CHD4,MKRN1
CHD4,ZMYM2
CHD4,ADAM19
CHD4,NFE2L1
CHD4,RFX7
CHD4,HIF1A
CHD4,XRCC6
CHD4,HMCES
CHD4,ZBTB43
CHD4,L3MBTL2
CHD4,SMARCA4
CHD4,PIAS1
CHD4,TET2
CHD4,POU6F1
CHD4,E2F6
CHD4,ZFP276
CHD4,CUX2
CHD4,HMGXB4
CHD4,RB1
CHD4,GLIPR2
CHD4,CNOT2
CHD4,GSR
CHD4,TRPS1
CHD4,TPD52
CHD4,LAMC1
CHD4,SMAD2
CHD4,SATB1
CHD4,ZFPM1
CHD4,POU5F1
CHD4,ZEB2
CHD4,NEDD4
CHD4,PRDM5
CHD4,ELAVL2
CHD4,CKAP4
CHD4,KLF15
CHD4,ETV1
CHD4,LAMA1
CHD4,MKX
CHD4,2410141K09RIK
CHD4,NRG1
CHD4,DTX1
CHD4,OPLAH
CHD4,TPM4
CHD4,RBPMS2
CHD4,SMAD7
CHD4,DPPA2
CHD4,ZFP592
CHD4,SIN3A
CHD4,MME
CHD4,EBF4
CHD4,ARHGAP29
CHD4,TEAD1
CHD4,ME1
CHD4,SHROOM3
CHD4,ZFHX3
CHD4,NANOG
CHD4,HMGA2
CHD4,ARNT2
CHD4,BCL3
CHD4,TEAD3
CHD4,GLIS2
CHD4,CALCOCO2
CHD7,SFI1
CHD7,LRPAP1
DPPA2,SFI1
DPPA2,GRIN1
DPPA2,PMS1
DPPA2,MARC2
DPPA2,RANBP17
DPPA2,ADAM23
DPPA2,LAMA1
DPPA2,GLDC
DPPA2,IGFBP2
DPPA2,GBX2
DPPA2,CAR2
DPPA2,NPAS2
DPPA2,ELAVL2
DPPA2,SMARCA5
DPPA2,SHROOM3
DPPA2,KAT2B
DPPA2,NUP210
DPPA2,GSR
DPPA2,NCOA3
DPPA2,ORC2
DPPA2,TET2
DPPA2,COBL
DPPA2,PRDM5
DPPA2,GNAS
DPPA2,ARHGAP29
DPPA2,LAMC1
DPPA2,SATB1
DPPA2,ZBTB38
DPPA2,NOTCH2
DPPA2,ZEB1
DPPA2,MME
DPPA2,ZFP398
DPPA2,TEAD1
DPPA2,POLR2B
DPPA2,TSG101
DPPA2,EP400
DPPA2,NRF1
DPPA2,ARNT2
DPPA2,SCMH1
DPPA2,CENPB
DPPA2,BRD7
DPPA2,TRIM24
DPPA2,GRHL1
DPPA2,TPD52
DPPA2,ZFP592
DPPA2,FOXJ3
DPPA2,MAML1
DPPA2,ITGA6
DPPA2,ZFP148
DPPA2,NRG1
DPPA2,FOXP1
DPPA2,HMGXB4
DPPA2,SLCO3A1
DPPA2,PKNOX2
DPPA2,TMF1
DPPA2,CUX2
DPPA2,PHF20
DPPA2,BMPER
DPPA2,ZFHX3
DPPA2,FXR2
DPPA2,TNK2
DPPA2,GAS6
DPPA2,PHF2
DPPA2,CKAP4
DPPA2,BTBD11
DPPA2,BTAF1
DPPA2,ATP13A3
DPPA2,COL4A2
DPPA2,COL4A1
DPPA2,ME1
DPPA2,MAN1A2
DPPA2,RBFOX2
DPPA2,LRRK1
DPPA2,SOS2
DPPA2,ODC1
DPPA2,NOTCH1
DPPA2,TGFB1
DPPA2,STAT5B
DPPA2,POU4F1
DPPA2,LRP2
DPPA2,JMJD1C
DPPA2,RRBP1
DPPA2,EYA1
DPPA2,EZH2
DPPA2,HDAC4
DPPA2,KLF13
DPPA2,TLE1
DPPA2,ELF2
DPPA2,CRAMP1L
DPPA2,PRRX2
DPPA2,TOX3
DPPA2,RYBP
DPPA2,EBF4
DPPA2,MYO6
DPPA2,ASNS
DPPA2,EP300
DPPA2,RNF157
DPPA2,NRIP1
DPPA2,NR2C1
DPPA2,SMURF2
DPPA2,MITF
DPPA2,PCBD1
DPPA2,CNOT6L
DPPA2,MLXIPL
DPPA2,VIM
DPPA2,HMGXB3
DPPA2,SND1
DPPA2,RNF14
DPPA2,LAMA5
DPPA2,CDC42SE2
DPPA2,ANKRD6
DPPA2,TOP2B
DPPA2,ZEB2
DPPA2,ZBTB10
DPPA2,GRB10
DPPA2,CHD7
DPPA2,MEF2A
DPPA2,HSF2BP
DPPA2,TEAD4
DPPA2,TIMP2
DPPA2,CNOT2
DPPA2,ANKRD54
DPPA2,HDLBP
DPPA2,ZMYND11
DPPA2,PARVB
DPPA2,TYRO3
DPPA2,POLR3B
DPPA2,ZFP423
DPPA2,DNMT3A
DPPA2,RCOR2
DPPA2,ETV4
DPPA2,PHLDB2
DPPA2,APP
DPPA2,ALPL
DPPA2,TCF4
DPPA2,TBL1X
DPPA2,SERTAD2
DPPA2,FHL2
DPPA2,ELP2
DPPA2,CALU
DPPA2,PLOD2
DPPA2,CSF1
DPPA2,SMAD2
DPPA2,TCF12
DPPA2,SMARCAD1
DPPA2,TAF5
DPPA2,UBP1
DPPA2,PMM1
DPPA2,INTS12
DPPA2,VEZF1
DPPA2,PURA
DPPA2,SMARCA2
DPPA2,ING1
DPPA2,COL27A1
DPPA2,RELA
DPPA2,APBB1
DPPA2,PTPN14
DPPA2,FOXO1
DPPA2,MBD2
DPPA2,HIST1H2BK
DPPA2,PAX8
DPPA2,RAD54B
DPPA2,HIF1A
DPPA2,ULK1
DPPA2,FOXJ2
DPPA2,POLR1B
DPPA2,P4HA2
DPPA2,RBBP4
DPPA2,DTX1
DPPA2,CTNNBIP1
DPPA2,TPM4
DPPA2,BRWD1
DPPA2,RBPMS2
DPPA2,OPLAH
DPPA2,SMAD7
DPPA2,GLIPR2
DPPA2,SUZ12
DPPA2,CUX1
DPPA2,AGAP3
DPPA2,TRIM13
DPPA2,SOCS2
DPPA2,MGST3
DPPA2,TCF7
DPPA2,GPX3
DPPA2,XRCC6
DPPA2,EED
DPPA2,PFKP
DPPA2,LDLRAP1
DPPA2,RB1
DPPA2,RARA
DPPA2,PDIA6
DPPA2,ITPK1
DPPA2,E2F6
DPPA2,CTBP1
DPPA2,EPS8
DPPA2,TTF2
DPPA2,SPOCK1
DPPA2,PIAS1
DPPA2,HDGF
DPPA2,CNOT8
DPPA2,GTF3C1
DPPA2,KLF3
DPPA2,ZFP276
DPPA2,SSR3
DPPA2,YEATS2
DPPA2,HDAC5
DPPA2,DAB2
DPPA2,ANKS1
DPPA2,ELF1
DPPA2,HSPB1
DPPA2,SEC24D
DPPA2,RBL1
DPPA2,ZMYM2
DPPA2,SMARCA4
DPPA2,DNMT1
DPPA2,AIP
DPPA2,PHF14
DPPA2,RFX7
DPPA2,EZH1
DPPA2,ZFPM1
DPPA2,JDP2
DPPA2,HDAC7
DPPA2,CEMIP
DPPA2,HDAC11
DPPA2,BIN1
DPPA2,SRSF1
DPPA2,SMARCD1
DPPA2,RBPJ
DPPA2,KNTC1
DPPA2,ATF1
DPPA2,ILF3
DPPA2,ZFP236
DPPA2,PATZ1
DPPA2,GLS
DPPA2,CALD1
DPPA2,APOBEC3
DPPA2,AATF
DPPA2,KANK2
DPPA2,TFAP4
DPPA2,FOXO3
DPPA2,COTL1
DPPA2,TIMELESS
DPPA2,SMURF1
DPPA2,KLF4
DPPA2,HIVEP2
DPPA2,AKT1
DPPA2,2410141K09RIK
DPPA2,SFPQ
DPPA2,UBE2C
DPPA2,SPARC
DPPA2,MEF2D
DPPA2,GTF2H4
DPPA2,CIC
DPPA2,L3MBTL2
DPPA2,ZBTB43
DPPA2,FOXH1
DPPA2,CALCOCO2
DPPA2,WDR45
DPPA2,ZBTB20
DPPA2,SRGN
DPPA2,NFIB
DPPA2,IRF4
DPPA4,SFI1
DPPA4,PMS1
DPPA4,GRIN1
DPPA4,GLDC
DPPA4,SHROOM3
DPPA4,ORC2
DPPA4,MARC2
DPPA4,ADAM23
DPPA4,NOTCH2
DPPA4,PRDM5
DPPA4,ZBTB38
DPPA4,GBX2
DPPA4,IGFBP2
DPPA4,RANBP17
DPPA4,GSR
DPPA4,LAMA1
DPPA4,KAT2B
DPPA4,NPAS2
DPPA4,RCOR2
DPPA4,CAR2
DPPA4,NCOA3
DPPA4,BTAF1
DPPA4,NUP210
DPPA4,TET2
DPPA4,INTS12
DPPA4,DAB2
DPPA4,RNF14
DPPA4,RBFOX2
DPPA4,CENPB
DPPA4,PHF20
DPPA4,MLXIPL
DPPA4,BRD7
DPPA4,POLR2B
DPPA4,EBF4
DPPA4,GRHL1
DPPA4,ZFP398
DPPA4,ZFP592
DPPA4,ITGA6
DPPA4,SCMH1
DPPA4,TNK2
DPPA4,LAMC1
DPPA4,COL4A2
DPPA4,COL4A1
DPPA4,PRRX2
DPPA4,NOTUM
DPPA4,TMF1
DPPA4,FOXP1
DPPA4,ARNT2
DPPA4,MME
DPPA4,PKNOX2
DPPA4,ZFHX3
DPPA4,REST
DPPA4,TPD52
DPPA4,UBP1
DPPA4,ELAVL2
DPPA4,NRG1
DPPA4,ATP13A3
DPPA4,TEAD1
DPPA4,HMGXB3
DPPA4,TRIM24
DPPA4,SATB1
DPPA4,EYA1
DPPA4,BMPER
DPPA4,TSG101
DPPA4,EP400
DPPA4,PODXL
DPPA4,FXR2
DPPA4,ZFP148
DPPA4,ZEB1
DPPA4,LRP2
